ID;Citation;DOI;Web;Year;Country;Continent;Type of reference;Ref Paper;Ref Organic;Ref Plastic;Ref Inert ;Comments;;;Fragen 
11;V. Chhabra, S. Bhattacharya & Y. Shastri, Pyrolysis of mixed municipal solid waste: Characterisation, interaction effect and kinetic modelling using the thermogravimetric approach, Waste Management (2019), 90, 152–167;10.1016/j.wasman.2019.03.048;https://www.sciencedirect.com/science/article/pii/S0956053X19301801;2019;India;Asia ;Scientific Publication;x;x;x;;;;;
12;V.Cozzani, L. Petarca & L. Tognotti, Devolatilization and pyrolysis of refuse derived fuels: characterization and kinetic modelling by a thermogravimetric and calorimetric approach, Fuel (1995), 74, 6, 903-912;10.1016/0016-2361(94)00018-M;https://www.sciencedirect.com/science/article/pii/001623619400018M;1995;Italy;Europe;Scientific Publication;x;;x;;;;;
13;P. Xu, Y. Jin & Y. Cheng, Thermodynamic Analysis of the Gasification of Municipal Solid Waste, Engineering (2017), 3, 3, 416-422;10.1016/J.ENG.2017.03.004;https://www.sciencedirect.com/science/article/pii/S2095809917304344;2017;China;Asia;Scientific Publication;x;x;x;;;;;
14;Y. Qiao, F. Xu, S. Xu, D. Yang, B. Wang, X. Ming, J. Hao & Y. Tian, Pyrolysis Characteristics and Kinetics of Typical Municipal Solid Waste Components and Their Mixture: Analytical TG-FTIR Study, Energy & Fuels (2018), 32, 10, 10801-10812;10.1021/acs.energyfuels.8b02571;https://pubs.acs.org/doi/abs/10.1021/acs.energyfuels.8b02571;2018;China;Asia;Scientific Publication;x;x;x;;;;;
15;S. Chen, A. Meng, Y. Long, H. Zhou, Q. Li & Y. Zhang, TGA pyrolysis and gasification of combustible municipal solid waste, Journal of the Energy Institute (2015), 88, 3, 332-343;10.1016/j.joei.2014.07.007;https://www.sciencedirect.com/science/article/pii/S174396711420208X;2015;China;Asia;Scientific Publication;x;x;;;;;;
16;H. Wang & Y. Nie, Municipal Solid Waste Characteristics and Management in China, Journal of the Air \& Waste Management Association (2001), 51, 2, 250-263;10.1080/10473289.2001.10464266;https://doi.org/10.1080/10473289.2001.10464266;2001;China;Asia;Scientific Publication;x;x;;;;;;
17;G. Xiao, M. Ni, Y. Chi, B. Jin, R. Xiao, Z. Zhong & Y. Huang, Gasification characteristics of MSW and an ANN prediction model, Waste Management (2009), 29, 1, 240-244;10.1016/j.wasman.2008.02.022;https://www.sciencedirect.com/science/article/pii/S0956053X08000883;2009;China;Asia;Scientific Publication;x;x;;;;;;
18;H. Zhou, A. Meng, Y. Long, Q. Li & Y. Zhang, An overview of characteristics of municipal solid waste fuel in China: Physical, chemical composition and heating value, Renewable and Sustainable Energy Reviews (2014), 36, 107-122;10.1016/j.rser.2014.04.024;https://www.sciencedirect.com/science/article/pii/S1364032114002512;2014;China;Asia;Scientific Publication;x;x;x;;;;;
19;Z. T. Yaqub, B. O. Oboirien, M. Hedberg & H. Leion, Experimental Evaluation Using Plastic Waste, Paper Waste, and Coal as Fuel in a Chemical Looping Combustion Batch Reactor, Chemical Engineering & Technology (2021), 44, 6, 1075-1083;10.1002/ceat.202000501;https://onlinelibrary.wiley.com/doi/abs/10.1002/ceat.202000501;2021;South Africa;Africa;Scientific Publication;x;;;;;;;
20;V. Cozzani, C. Nicolella, L. Petarca, M. Rovatti & L. Tognotti, A Fundamental Study on Conventional Pyrolysis of a Refuse-Derived Fuel, Industrial & Engineering Chemistry Research (1995), 34, 6, 2006-2020;10.1021/ie00045a010;https://pubs.acs.org/doi/pdf/10.1021/ie00045a010;1995;Italy;Europe;Scientific Publication;x;;;;;;;
21;M.N. Islam, M.N. Islam & M.R.A. Beg, The fuel properties of pyrolysis liquid derived from urban solid wastes in Bangladesh, Bioresource Technology (2004), 92, 2, 181-186;10.1016/j.biortech.2003.08.009;https://www.sciencedirect.com/science/article/pii/S0960852403002232;2004;Bangladesh;Asia;Scientific Publication;x;;;;;;;
22;"S. P. Chai & R. Zakaria, INVESTIGATION ON COMBUSTION CHARACTERISTICS OF 
MUNICIPAL SOLID WASTE FROM PENANG STATE MALAYSIA, 4th i-CIPEC (2006), September 26-29, 2006, Kyoto, Japan";;https://www.researchgate.net/publication/242570278_INVESTIGATION_ON_COMBUSTION_CHARACTERISTICS_OF_MUNICIPAL_SOLID_WASTE_FROM_PENANG_STATE_MALAYSIA;2006;Malaysia;Asia;Scientific Publication;x;x;;;;;;
23;E. Ansah, L. Wang & A. Shahbazi, Thermogravimetric and calorimetric characteristics during co-pyrolysis of municipal solid waste components, Waste Management (2016), 56, 196–206;10.1016/j.wasman.2016.06.015;https://www.sciencedirect.com/science/article/pii/S0956053X16303208;2016;USA;America;Scientific Publication;x;x;;;;;;
24;A. Khuriati, W. S. Budi, M. Nur, I. Istadi & G. Suwoto, MODELING OF HEATING VALUE OF MUNICIPAL SOLID WASTE BASED ON ULTIMATE ANALYSIS USING STEPWISE MULTIPLE LINEAR REGRESSION IN SEMARANG, ARPN Journal of Engineering and Applied Sciences (2017), 12, 9;;https://www.researchgate.net/publication/317095324;2017;Indonesia;Asia;Scientific Publication;x;x;;;;;;
25;R. A. Ibikunle, A. F. Lukman, I. F. Titiladunayo, E. A. Akeju & S. O. Dahunsi, Modeling and robust prediction of high heating values of municipal solid waste based on ultimate analysis, Energy Sources, Part A: Recovery, Utilization, and Environmental Effects (2025), 47, 1, 2239-2256;10.1080/15567036.2020.1841343;https://doi.org/10.1080/15567036.2020.1841343;2025;Nigeria;Africa;Scientific Publication;x;x;;;;;;
26;M. Baawain, A. Al-Mamun, H. Omidvarborna & W. Al-Amri, Ultimate composition analysis of municipal solid waste in Muscat, Journal of Cleaner Production (2017), 148, 355-362;10.1016/j.jclepro.2017.02.013;https://www.sciencedirect.com/science/article/pii/S0959652617302172;2017;Oman;Asia;Scientific Publication;x;x;;;;;;
27;B. Biswal, S. Kumar & R. K. Singh, Production of Hydrocarbon Liquid by Thermal Pyrolysis of Paper Cup Waste, Journal of Waste Management (2013), 2013;10.1155/2013/731858;http://dx.doi.org/10.1155/2013/731858;2013;India;Asia;Scientific Publication;x;;;;;;;
28;B. Janković, The pyrolysis of coffee paper cup waste samples using non-isothermal thermo-analytical techniques. The use of combined kinetic and statistical analysis in the interpretation of mechanistic features of the process, Energy Conversion and Management (2014), 85, 33-49;10.1016/j.enconman.2014.05.094;https://www.sciencedirect.com/science/article/pii/S0196890414005135;2014;Serbia;Europa;Scientific Publication;x;;;;;;;
29;I. Boumanchar, Y. Chhiti, F. E. M. Alaoui, A. Sahibed-Dine, F. Bentiss, C. Jama, M. Bensitel, Municipal solid waste higher heating value prediction from ultimate analysis using multiple regression and genetic programming techniques, Waste Management \& Research (2018), 37, 6, 578 - 589;10.1177/0734242X18816797;https://journals.sagepub.com/doi/10.1177/0734242X18816797;2019;Morocco;Africa;Scientific Publication;x;x;;;;;;
30;R. M. Sebastian, D. Kumar & B. J. Alappat, Easy Estimation of Mixed Municipal Solid Waste Characteristics from Component Analysis, Journal of Environmental Engineering (2019), 145, 11, 04019081;10.1061/(ASCE)EE.1943-7870.0001588;https://ascelibrary.org/doi/full/10.1061/(ASCE)EE.1943-7870.0001588;2019;Canada ;America;Scientific Publication;x;x;;;;;;
31;H. Zhou, A. Meng, Y. Long, Q. Li & Y. Zhang, Classification and comparison of municipal solid waste based on thermochemical characteristics, Journal of the Air & Waste Management Association (2014), 64, 5, 597-616;10.1080/10962247.2013.873094;https://doi.org/10.1080/10962247.2013.873094;2014;China;Asia;Scientific Publication;x;x;x;;;;;
32;P. Grammelis, P. Basinas, A. Malliopoulou & G. Sakellaropoulos, Pyrolysis kinetics and combustion characteristics of waste recovered fuels, Fuel (2009), 88, 1, 195-205;10.1016/j.fuel.2008.02.002;https://www.sciencedirect.com/science/article/pii/S0016236108000471;2009;Greece;Europe;Scientific Publication;x;;x;;;;;
33;C.- H. Wu, C.- Y. Chang, C.- H. Tseng & J.-P. Lin, Pyrolysis product distribution of waste newspaper in MSW, Journal of Analytical and Applied Pyrolysis (2003), 67, 1, 41-53;10.1016/S0165-2370(02)00016-5;https://www.sciencedirect.com/science/article/pii/S0165237002000165;2003;Taiwan;Asia;Scientific Publication;x;;;;;;;
34;Y. B. Yang, A. N. Phan, C. Ryu, V. Sharifi & J. Swithenbank, Mathematical modelling of slow pyrolysis of segregated solid wastes in a packed bed pyrolyser, Fuel (2007), 86, 1, 169-180;10.1016/j.fuel.2006.07.012;https://www.sciencedirect.com/science/article/pii/S0016236106002560;2007;United Kingdom;Europe;Scientific Publication;x;;;;;;;
35;J.K. Modh, S.A. Namjoshi & S.A. Channiwala, Kinetics and Pyrolysis of Glossy Paper Waste, International Journal of Engineering Research and Applications (IJERA) (2012), 2, 2, 1067-1074;;https://www.ijera.com/papers/Vol2_issue2/FY2210671074.pdf;2012;India;Asia;Scientific Publication;x;;;;;;;
36;L. Sørum, P. A. Campbell, N. E. L. Haugen & R. E. Mitchell, An experimental study of the reactivity of cellulosic-based chars from wastes, Fuel (2014), 130, 306-314;10.1016/j.fuel.2014.04.033;https://www.sciencedirect.com/science/article/pii/S0016236114003548;2014;Norway;Europe;Scientific Publication;x;x;;;;;;
37;A. Skreiberg, Ø. Skreiberg, J. Sandquist & L. Sørum, TGA and macro-TGA characterisation of biomass fuels and fuel mixtures, Fuel (2011), 90, 6, 2182-2197;10.1016/j.fuel.2011.02.012;https://www.sciencedirect.com/science/article/pii/S0016236111000706;2011;Norway;Europe;Scientific Publication;x;;;;;;;
38;A. D. Pasek, K. W. Gultom & A. Suwono, Feasibility of Recovering Energy from Municipal Solid Waste to Generate Electricity, Journal of Engineering and Technological Sciences (2013), 45, 3, 241-256;10.5614/j.eng.technol.sci.2013.45.3.3;https://www.researchgate.net/publication/283466437_Feasibility_of_Recovering_Energy_from_Municipal_Solid_Waste_to_Generate_Electricity;2013;Indonesia;Asia;Scientific Publication;x;x;;;;;;
39;S. E. Etuk, U. W. Robert, O. E. Agbasi & N. J. Inyang, Evaluation of Thermophysical and Strength Properties of Composite Panels Produced from Sugarcane Bagasse and Waste Newspapers, Advances in Materials Science (2023), 23, 1, 19-31;10.2478/adms-2023-0002;https://sciendo.com/article/10.2478/adms-2023-0002;2023;Nigeria;Africa;Scientific Publication;x;;;;;;;
40;Integrated Environmental Solutions Limited: Table 6 Thermal Conductivity, Specific Heat Capacity and Density, in: IES VE Help, https://help.iesve.com/ve2021/table_6_thermal_conductivity__specific_heat_capacity_and_density.htm (accessed on: 05.11.2025).;;https://help.iesve.com/ve2021/table_6_thermal_conductivity__specific_heat_capacity_and_density.htm;2021;United Kingdom;Europe;Data Sheet/Report;x;;;;;;;
41;M. Kucharek, L. Yang & K. Wang, Assessment of insulating package performance by mathematical modelling, Packaging Technology and Science (2020), 33;10.1002/pts.2492;https://onlinelibrary.wiley.com/doi/epdf/10.1002/pts.2492;2020;United Kingdom;Europe;Scientific Publication;x;;;;;;;
42;H. Zhou, Y. Long, A. Meng, Q. Li & Y. Zhang, Classification of municipal solid waste components for thermal conversion in waste-to-energy research, Fuel (2015), 145, 151-157;10.1016/j.fuel.2014.12.015;https://www.sciencedirect.com/science/article/pii/S0016236114012241?via%3Dihub;2015;China;Asia;Scientific Publication;;x;x;;;;;
43;S. D. Gunasee, M. Carrier, J. F. Gorgens & R. Mohee, Pyrolysis and combustion of municipal solid wastes: Evaluation of synergistic effects using TGA-MS, Journal of Analytical and Applied Pyrolysis (2016), 121, 50-61;10.1016/j.jaap.2016.07.001;https://www.sciencedirect.com/science/article/pii/S0165237015303247;2016;Mauritius;Africa;Scientific Publication;x;x;x;;;;;
44;M.N. Ramesh, Effect of cooking and drying on the thermal conductivity of rice, International Journal of Food Properties (2000), 3, 1, 77-92;10.1080/10942910009524617;https://www.tandfonline.com/doi/abs/10.1080/10942910009524617;2000;India;Asia;Scientific Publication;;x;;;;;;
45;R. L. Hays, The Thermal Conductivity of Leaves, Planta (1975), 125, 281-287;10.1007/BF00385604;https://link.springer.com/article/10.1007/BF00385604;1975;USA;America;Scientific Publication;;x;;;;;;
46;A. Benestante, M. C. Chalapud, E. Baümler & M. E. Carrín, Physical and mechanical properties of lemon (Citrus lemon) seeds, Journal of the Saudi Society of Agricultural Sciences (2023), 22, 4, 205-213;10.1016/j.jssas.2022.11.002;https://www.sciencedirect.com/science/article/pii/S1658077X22000996;2023;Argentina;America;Scientific Publication;;x;;;;;;
47;M. Sharifi, S. Rafiee*, A. Keyhani, A. Jafari, H. Mobli, A. Rajabipour & A. Akram, Some physical properties of orange (var. Tompson), Int. Agrophysics (2007), 21, 391-397;;https://yadda.icm.edu.pl/agro/element/bwmeta1.element.agro-article-17967291-ce47-46fd-a010-97cf0548a2aa;2007;Iran;Asia;Scientific Publication;;x;;;;;;
48;I. D. Akcali, A. Ince & E. Guzel, Selected Physical Properties of Peanuts, International Journal of Food Properties (2006), 9, 1, 25-37;10.1080/10942910500471636;https://www.tandfonline.com/doi/full/10.1080/10942910500471636;2006;Turkey;Asia;Scientific Publication;;x;;;;;;
49;I. H. Tavman & S. Tavman, Measurement of thermal conductivity of dairy products, Journal of Food Engineering (1999), 41, 2, 109-114;10.1016/S0260-8774(99)00079-5 ;https://www.sciencedirect.com/science/article/pii/S0260877499000795;1999;Turkey;Asia;Scientific Publication;;x;;;;;;
50;M. Kwapinska & J. J. Leahy, Pyrolysis - a way of recovering energy from wastewater sludge from milk processing factories, 5th International Conference on Sustainable Solid Waste Management (2017);;http://uest.ntua.gr/athens2017/proceedings/pdfs/Athens2017_Kwapinska_Leahy.pdf;2017;Ireland;Europe;Scientific Publication;;x;;;;;;
51;M. Kwapinska, A. Horvat, Y. Liu & J. J. Leahy, Pilot Scale Pyrolysis of Activated Sludge Waste from Milk Processing Factory, Waste Biomass Valorization (2020), 11, 2887-2903;10.1007/s12649-019-00596-y;https://link.springer.com/article/10.1007/s12649-019-00596-y;2020;Irland;Europe;Scientific Publication;;x;;;;;;
52;A. Zuorro, G. Maffei & R. Lavecchia, Reuse potential of artichoke (Cynara scolimus L.) waste for the recovery of phenolic compounds and bioenergy, Journal of Cleaner Production (2016), 111, 279-284;10.1016/j.jclepro.2015.06.011;https://www.sciencedirect.com/science/article/pii/S0959652615007234;2016;Italy;Europe;Scientific Publication;;x;;;;;;
53;O. Baik & G. S. Mittal, Determination and Modeling of Thermal Properties of Tofu, International Journal of Food Properties (2003), 6, 1, 9-24;10.1081/JFP-120016621;https://www.tandfonline.com/doi/full/10.1081/JFP-120016621;2003;Canada ;America;Scientific Publication;;x;;;;;;
54;R. Verma & S. Prasad, Mechanical and thermal properties of maize, Journal of Food Science and Technology -Mysore- (2000), 37, 5, 500-505;;https://www.researchgate.net/profile/Rc-Verma/publication/297790797_Mechanical_and_thermal_properties_of_maize/links/5d68f783299bf1d59944be16/Mechanical-and-thermal-properties-of-maize.pdf;2000;India;Asia;Scientific Publication;;x;;;;;;
55;B. Shirsat, S. Patel, P. Borkar & P. Bakane, PHYSICAL PROPERTIES OF FRESH GINGER (Zingiber officinale) RHIZOMES, (2019);;https://www.researchgate.net/publication/334623814_PHYSICAL_PROPERTIES_OF_FRESH_GINGER_Zingiber_officinale_RHIZOMES;2019;India;Asia;Scientific Publication;;x;;;;;;
56;H. Saeed Salih, Physicochemical properties of Walnuts (Juglans regia L.) shells and kernels growing in different locations in Kurdistan region-Iraq, Journal of Zankoy Sulaimani - Part A (2020), 22, 2;10.17656/jzs.10812;https://www.researchgate.net/profile/Hayman-Salih/publication/348310970_Physicochemical_properties_of_Walnuts_Juglans_regia_L_shells_and_kernels_growing_in_different_locations_in_Kurdistan_region-Iraq/links/5ff78c8a45851553a02aedf8/Physicochemical-properties-of-Walnuts-Juglans-regia-L-shells-and-kernels-growing-in-different-locations-in-Kurdistan-region-Iraq.pdf;2020;Iraq;Asia;Scientific Publication;;x;;;;;;
57;V. Mortezaeikia, O. Tavakoli & M. S. Khodaparasti, A review on kinetic study approach for pyrolysis of plastic wastes using thermogravimetric analysis, Journal of Analytical and Applied Pyrolysis (2021), 160, 105340;10.1016/j.jaap.2021.105340;https://www.sciencedirect.com/science/article/pii/S0165237021003260;2021;Iran;Asia ;Scientific Publication;;;x;;;;;
58;H. Jia, H. Ben, Y. Luo & R. Wang, Catalytic Fast Pyrolysis of Poly (Ethylene Terephthalate) (PET) with Zeolite and Nickel Chloride, Polymers (2020), 12, 3, 705;10.3390/polym12030705;https://www.mdpi.com/2073-4360/12/3/705;2020;China;Asia;Scientific Publication;;;x;;;;;
59;S. O. Adoga, O. G. Igbum, G. Okopi, B. A. Ikyenge, O. I. Ochi & P. Ode, Catalytic pyrolysis of low density polyethylene and polypropylene wastes to fuel oils by N-clay, Ovidius University Annals of Chemistry (2022), 33, 1, 50-55;10.2478/auoc-2022-0007;https://intapi.sciendo.com/pdf/10.2478/auoc-2022-0007;2022;Nigeria;Africa;Scientific Publication;;;x;;;;;
60;I. Kremer, T. Tomić, Z. Katančić, M. Erceg, S. Papuga, J. P. Vuković & D. R. Schneider, Catalytic pyrolysis of mechanically non-recyclable waste plastics mixture: Kinetics and pyrolysis in laboratory-scale reactor, Journal of Environmental Management (2021), 296, 113145;10.1016/j.jenvman.2021.113145;https://www.sciencedirect.com/science/article/pii/S030147972101207X;2021;Croatia;Europe;Scientific Publication;;;x;;;;;
61;D. Oh, H. W. Lee, Y. M. Kim & Y. K. Park, Catalytic pyrolysis of polystyrene and polyethylene terephthalate over Al-MSU-F, Energy Procedia (2018), 144, 111-117;10.1016/j.egypro.2018.06.015;https://www.sciencedirect.com/science/article/pii/S1876610218301218;2018;South Korea;Asia;Scientific Publication;;;x;;;;;
62;Z. Wang, K. G. Burra, X. Li, M. Zhang, X. He, T. Lei & A. K. Gupta, CO2-assisted gasification of polyethylene terephthalate with focus on syngas evolution and solid yield, Applied Energy (2020), 276, 115508;10.1016/j.apenergy.2020.115508;https://www.sciencedirect.com/science/article/pii/S0306261920310205;2020;China;Asia;Scientific Publication;;;x;;;;;
63;A. Kijo-Kleczkowska, M. Szumera, A. Gnatowski & D. Sadkowski, Comparative thermal analysis of coal fuels, biomass, fly ash and polyamide, Energy (2022), 258, 124840;10.1016/j.energy.2022.124840;https://www.sciencedirect.com/science/article/pii/S0360544222017431;2022;Poland;Europe;Scientific Publication;;;x;;;;;
64;N. I. Unal, S. Mertdinc, H. Haykiri-Acma & S. Yaman, Comparison of the fuel properties and the combustion behavior of PET bottle caps with lignite, Energy Procedia (2017), 136, 22-26;10.1016/j.egypro.2017.10.256;https://www.sciencedirect.com/science/article/pii/S1876610217352062;2017;Turkey;Europe;Scientific Publication;;;x;;;;;
65;J. M. Saad, P. T. Williams, Y. Zhang, D. Yao, H. Yang & H. Zhou, Comparison of waste plastics pyrolysis under nitrogen and carbon dioxide atmospheres: A thermogravimetric and kinetic study, Journal of Analytical and Applied Pyrolysis (2021), 156, 105135;10.1016/j.jaap.2021.105135;https://www.sciencedirect.com/science/article/pii/S0165237021001212;2021;Malaysia;Asia;Scientific Publication;;;x;;;;;
66;H. Wijayanti, C. Irawan & N. Aulia, Copyrolysis of rice husk and plastic bags waste from low-density polyethylene (LDPE) for improving pyrolysis liquid product, IOP Conference Series: Earth and Environmental Science (2022), 963, 1, 012012;10.1088/1755-1315/963/1/012012;https://iopscience.iop.org/article/10.1088/1755-1315/963/1/012012/meta;2022;Indonesia;Asia;Scientific Publication;;;x;;;;;
67;N. I. Izzatie, M. H. Basha, Y. Uemura, M. S. M. Hashim, N. A. M. Amin & M. F. Hamid, Co-pyrolysis of rice straw and Polyethylene Terephthalate (PET) using a fixed bed drop type pyrolyzer, Journal of Physics: Conference Series (2017), 908, 1, 012073;10.1088/1742-6596/908/1/012073;https://iopscience.iop.org/article/10.1088/1742-6596/908/1/012073/meta;2017;Malaysia;Asia;Scientific Publication;;;x;;;;;
68;G. Ganeshan, K. P. Shadangi & K. Mohanty, Degradation kinetic study of pyrolysis and co-pyrolysis of biomass with polyethylene terephthalate (PET) using Coats–Redfern method, Journal of Thermal Analysis and Calorimetry (2017), 131, 1803-1816;10.1007/s10973-017-6597-5;https://link.springer.com/article/10.1007/s10973-017-6597-5;2017;India;Asia;Scientific Publication;;;x;;;;;
69;NETZSCH:PA11: Polyamide 11, in: Analysing and Testing - Engineering Thermoplastics, https://analyzing-testing.netzsch.com/en/polymers-netzsch-com/engineering-thermoplastics/pa11-polyamide-11, (letzter Zugriff: 11.11.2025).;;https://analyzing-testing.netzsch.com/en/polymers-netzsch-com/engineering-thermoplastics/pa11-polyamide-11;N/A;N/A;N/A;Data Sheet/Report;;;x;;;;;
70;Polyamid PA6;;https://rolec.de/fileadmin/Media/44/a2/Polyamid_PA6_en-.pdf;N/A;N/A;N/A;Data Sheet/Report;;;x;;;;;
71;Ensinger: TECAMID 12 natural, in: STOCK SHAPES, https://www.ensingerplastics.com/en/shapes/pa12-tecamid-12-natural, (letzter Zugriff: 11.11.2025).;;https://www.ensingerplastics.com/en/shapes/pa12-tecamid-12-natural;N/A;N/A;N/A;Data Sheet/Report;;;x;;;;;
72;hinkel elektronik: TECHNICAL DATA SHEET: PA (Polyamide), https://www.hinkel-elektronik.de/pdf_node/954.pdf, (letzter Zugriff: 11.11.2025).;;https://www.hinkel-elektronik.de/pdf_node/954.pdf;N/A;Germany;Europe;Data Sheet/Report;;;x;;;;;
73;MatWeb - MATERIAL PROPERTY DATA: Hippe PA 12 Nylon 12, https://www.matweb.com/search/datasheet.aspx?matguid=29b7c1d742df4caab61835d8eedada2c&n=1&ckck=1, (letzter Zugriff: 11.11.2025).;;https://www.matweb.com/search/datasheet.aspx?matguid=29b7c1d742df4caab61835d8eedada2c&n=1;N/A;N/A;N/A;Data Sheet/Report;;;x;;;;;
74;Professional Plastics: Thermal Properties of Plastic Materials, (letzter Zugriff: 11.11.2025). ;;https://www.professionalplastics.com/professionalplastics/ThermalPropertiesofPlasticMaterials.pdf?srsltid=AfmBOoq3UWJIlK4AVJJkQWMhGxguTgsTBSOb_-VvRN0nV-U-OIaAqih5;N/A;N/A;N/A;Data Sheet/Report;;;x;;;;;
75;THERMAL AND ELECTRICAL PROPERTIES OF PE;;https://www.scribd.com/document/341855254/TG1GenProp;N/A;Australia;Australia;Data Sheet/Report;;;x;;;;;
76;G. Özsin & A. E. Pütün, Insights into pyrolysis and co-pyrolysis of biomass and polystyrene: Thermochemical behaviors, kinetics and evolved gas analysis, Energy Conversion and Management (2017), 149, 675-685;10.1016/j.enconman.2017.07.059;https://www.sciencedirect.com/science/article/pii/S0196890417306945;2017;Turkey;Europe;Scientific Publication;;;x;;;;;
77;E. B. Ettah, J. G. Egbe, S. A. Takim, U. Akpan & E. Oyom, Investigation of the Thermal Conductivity of Polyvinyl Chloride (Pvc) Ceiling Material Produced In Epz Calabar, For Application Tropical Climate Zones, IOSR Journal of Polymer and textile Engineering (2016), 3, 2, 34-38;10.9790/019X-03023438;https://www.researchgate.net/publication/304837400;2016;Nigeria;Africa;Scientific Publication;;;x;;;;;
78;S. L. Wong, N. Ngadi & T. A. T. Abdullah, Kinetic modeling of LDPE Pyrolysis Using Coats-Redfern Method;;https://core.ac.uk/outputs/83532929/?utm_source=pdf&utm_medium=banner&utm_campaign=pdf-decoration-v1;2015;Malaysia;Asia;Scientific Publication;;;x;;;;;
79;S. Zhong, B. Zhang, C. Liu & A. Shujaa aldeen, Mechanism of synergistic effects and kinetics analysis in catalytic co-pyrolysis of water hyacinth and HDPE, Energy Conversion and Management (2021), 228, 113717;10.1016/j.enconman.2020.113717;https://www.sciencedirect.com/science/article/pii/S0196890420312413;2021;China;Asia;Scientific Publication;;;x;;;;;
80;M. de Sousa Felix, D. Hagare, A. Tahmasebi, A. Sathasivan & M. Arora, Microwave pyrolysis of polypropylene, and high-density polyethylene, and catalytic gasification of waste coffee pods to hydrogen-rich gas, Waste management (New York, N.Y.) (2024), 187, 306-316;10.1016/j.wasman.2024.07.021;https://www.sciencedirect.com/science/article/pii/S0956053X24004124;2024;Australia;Australia;Scientific Publication;;;x;;;;;
81;E. Syguła, K. Świechowski, M. Hejna, I. Kunaszyk & A. Białowiec, Municipal Solid Waste Thermal Analysis—Pyrolysis Kinetics and Decomposition Reactions, Energies (2021), 14, 15, 1-30;10.3390/en14154510;https://www.mdpi.com/1996-1073/14/15/4510;2021;Poland;Europe;Scientific Publication;x;;x;;;;;
